id,end_of_turn,halfturn,team,played,fen,win,draw,loss,outcome
7446,2024-10-04T01:52:37.204Z,151,white,b5b4,k7/4Q3/1p5r/8/1p6/K1n5/8/n2n4 w - - 0 76,0.0,0.0,1.0,
7447,2024-10-04T02:00:07.274Z,152,black,a3b4,k7/4Q3/1p5r/8/1K6/2n5/8/n2n4 b - - 0 76,0.0,0.0,1.0,
7448,2024-10-04T02:07:37.296Z,153,white,a8b8,1k6/4Q3/1p5r/8/1K6/2n5/8/n2n4 w - - 1 77,0.005,0.99,0.005,
7449,2024-10-04T02:15:07.321Z,154,black,e7e3,1k6/8/1p5r/8/1K6/2n1Q3/8/n2n4 b - - 2 77,0.0,0.0,1.0,
7450,2024-10-04T02:22:37.386Z,155,white,h6h5,1k6/8/1p6/7r/1K6/2n1Q3/8/n2n4 w - - 3 78,0.185,0.815,0.0,
7451,2024-10-04T02:30:07.535Z,156,black,e3d3,1k6/8/1p6/7r/1K6/2nQ4/8/n2n4 b - - 4 78,0.0,0.0,1.0,
7452,2024-10-04T02:37:37.647Z,157,white,c3a4,1k6/8/1p6/7r/nK6/3Q4/8/n2n4 w - - 5 79,0.015,0.984,0.001,
7453,2024-10-04T02:45:07.683Z,158,black,d3d6,1k6/8/1p1Q4/7r/nK6/8/8/n2n4 b - - 6 79,0.009,0.989,0.002,
7454,2024-10-04T02:52:37.704Z,159,white,b8a7,8/k7/1p1Q4/7r/nK6/8/8/n2n4 w - - 7 80,0.014,0.984,0.002,
7455,2024-10-04T03:00:07.785Z,160,black,d6d5,8/k7/1p6/3Q3r/nK6/8/8/n2n4 b - - 8 80,0.0,0.0,1.0,
7456,2024-10-04T03:07:37.833Z,161,white,a4c3,8/k7/1p6/3Q3r/1K6/2n5/8/n2n4 w - - 9 81,0.005,0.99,0.005,
7457,2024-10-04T03:15:07.915Z,162,black,d5b5,8/k7/1p6/1Q5r/1K6/2n5/8/n2n4 b - - 10 81,0.0,0.0,1.0,
7458,2024-10-04T03:22:37.960Z,163,white,h5h6,8/k7/1p5r/1Q6/1K6/2n5/8/n2n4 w - - 11 82,0.005,0.99,0.005,
7459,2024-10-04T03:30:08.012Z,164,black,b5a6,8/k7/Qp5r/8/1K6/2n5/8/n2n4 b - - 12 82,0.0,0.0,1.0,
7460,2024-10-04T03:37:38.105Z,165,white,a7b8,1k6/8/Qp5r/8/1K6/2n5/8/n2n4 w - - 13 83,0.0,0.0,1.0,
7461,2024-10-04T03:45:08.159Z,166,black,a6d3,1k6/8/1p5r/8/1K6/2nQ4/8/n2n4 b - - 14 83,0.0,0.0,1.0,
7462,2024-10-04T03:52:38.229Z,167,white,c3a4,1k6/8/1p5r/8/nK6/3Q4/8/n2n4 w - - 15 84,0.005,0.99,0.005,
7463,2024-10-04T04:00:08.319Z,168,black,d3e4,1k6/8/1p5r/8/nK2Q3/8/8/n2n4 b - - 16 84,0.0,0.0,1.0,
7464,2024-10-04T04:07:38.387Z,169,white,b6b5,1k6/8/7r/1p6/nK2Q3/8/8/n2n4 w - - 0 85,0.294,0.706,0.0,
7465,2024-10-04T04:15:08.415Z,170,black,e4e8,1k2Q3/8/7r/1p6/nK6/8/8/n2n4 b - - 1 85,0.005,0.99,0.005,
7466,2024-10-04T04:22:38.499Z,171,white,b8b7,4Q3/1k6/7r/1p6/nK6/8/8/n2n4 w - - 2 86,0.016,0.983,0.001,
7467,2024-10-04T04:30:08.598Z,172,black,e8f8,5Q2/1k6/7r/1p6/nK6/8/8/n2n4 b - - 3 86,0.0,0.0,1.0,
7468,2024-10-04T04:37:38.708Z,173,white,b7b6,5Q2/8/1k5r/1p6/nK6/8/8/n2n4 w - - 4 87,1.0,0.0,0.0,
7469,2024-10-04T04:45:08.818Z,174,black,f8d8,3Q4/8/1k5r/1p6/nK6/8/8/n2n4 b - - 5 87,0.021,0.978,0.001,
7470,2024-10-04T04:52:38.862Z,175,white,b6a6,3Q4/8/k6r/1p6/nK6/8/8/n2n4 w - - 6 88,0.027,0.972,0.001,
7471,2024-10-04T05:00:08.891Z,176,black,b4a3,3Q4/8/k6r/1p6/n7/K7/8/n2n4 b - - 7 88,0.0,0.0,1.0,
