id,played,fen,end_of_turn,win,draw,loss,outcome
6252,e8d8,1rbk3r/pp1p1p1p/3Pnb2/4p3/2PP1PPP/p1N4R/R4Q2/2B1KB2 w - - 3 22,2024-09-27 20:35:46.109979+00,1,0,0,
6253,d4e5,1rbk3r/pp1p1p1p/3Pnb2/4P3/2P2PPP/p1N4R/R4Q2/2B1KB2 b - - 0 22,2024-09-27 20:43:16.235954+00,1,0,0,
6254,e6f4,1rbk3r/pp1p1p1p/3P1b2/4P3/2P2nPP/p1N4R/R4Q2/2B1KB2 w - - 0 23,2024-09-27 20:50:46.262146+00,1,0,0,
6255,h3d3,1rbk3r/pp1p1p1p/3P1b2/4P3/2P2nPP/p1NR4/R4Q2/2B1KB2 b - - 1 23,2024-09-27 20:58:16.401215+00,1,0,0,
6256,f6e5,1rbk3r/pp1p1p1p/3P4/4b3/2P2nPP/p1NR4/R4Q2/2B1KB2 w - - 0 24,2024-09-27 21:05:46.48879+00,1,0,0,
6257,d3e3,1rbk3r/pp1p1p1p/3P4/4b3/2P2nPP/p1N1R3/R4Q2/2B1KB2 b - - 1 24,2024-09-27 21:13:16.625618+00,1,0,0,
6258,e5f6,1rbk3r/pp1p1p1p/3P1b2/8/2P2nPP/p1N1R3/R4Q2/2B1KB2 w - - 2 25,2024-09-27 21:20:46.69006+00,1,0,0,
6259,f1h3,1rbk3r/pp1p1p1p/3P1b2/8/2P2nPP/p1N1R2B/R4Q2/2B1K3 b - - 3 25,2024-09-27 21:28:16.873915+00,1,0,0,
6260,h8f8,1rbk1r2/pp1p1p1p/3P1b2/8/2P2nPP/p1N1R2B/R4Q2/2B1K3 w - - 4 26,2024-09-27 21:35:46.92755+00,1,0,0,
6261,f2f1,1rbk1r2/pp1p1p1p/3P1b2/8/2P2nPP/p1N1R2B/R7/2B1KQ2 b - - 5 26,2024-09-27 21:43:17.115192+00,1,0,0,
