id,instant,player_pseudo,turn_id,move,accuracy,points
1435,2024-09-27 11:53:13.770729+00,Lysandra Sanglante,6183,b6b3,0.78312266,242
1436,2024-09-27 11:53:33.431897+00,Lysandra Sanglante,6183,b6b3,0.78312266,242
1437,2024-09-27 11:53:36.988062+00,Lysandra Sanglante,6183,b6b3,0.78312266,242
1438,2024-09-27 11:53:39.080084+00,Lysandra Sanglante,6183,b6b2,0.79889643,246
1439,2024-09-27 11:53:59.446313+00,Lysandra Sanglante,6183,b6b2,0.79889643,246
1440,2024-09-27 11:54:05.125814+00,Lysandra Sanglante,6183,b6b2,0.79889643,246
1441,2024-09-27 11:54:07.82829+00,Lysandra Sanglante,6183,b6b2,0.79889643,246
1442,2024-09-27 11:54:09.680097+00,Lysandra Sanglante,6183,b6b3,0.78312266,242
1443,2024-09-27 11:54:16.093185+00,Lysandra Sanglante,6183,b6b3,0.78312266,242
1444,2024-09-27 11:54:21.380658+00,Lysandra Sanglante,6183,b6b3,0.78312266,242
1445,2024-09-27 11:54:39.254384+00,Lysandra Sanglante,6183,d5b4,0.780711,241
1446,2024-09-27 11:54:40.427518+00,Lysandra Sanglante,6183,d5b4,0.780711,241
1447,2024-09-27 11:54:44.849185+00,Lysandra Sanglante,6183,d5b4,0.780711,241
1448,2024-09-27 11:55:05.278875+00,Ambrose Sardonique,6183,g7g5,0.78564686,242
1449,2024-09-27 11:55:09.749776+00,Lysandra Sanglante,6183,g7g5,0.78564686,188
1450,2024-09-27 11:55:12.068994+00,Lysandra Sanglante,6183,g7g5,0.78564686,188
1451,2024-09-27 11:55:36.262957+00,Lysandra Sanglante,6183,g7g5,0.78564686,188
1452,2024-09-27 11:55:37.619352+00,Lysandra Sanglante,6183,g7g5,0.78564686,188
1453,2024-09-27 11:55:40.267953+00,Lysandra Sanglante,6183,b6a5,0.8912007,275
1454,2024-09-27 11:55:41.146655+00,Lysandra Sanglante,6183,b6a5,0.8912007,275
1455,2024-09-27 11:55:42.071833+00,Lysandra Sanglante,6183,b6a5,0.8912007,275
1456,2024-09-27 11:55:50.007099+00,Lysandra Sanglante,6183,c7d8,0.79379153,245
1457,2024-09-27 11:55:52.035195+00,Lysandra Sanglante,6183,c7d8,0.79379153,245
1458,2024-09-27 11:55:53.647343+00,Lysandra Sanglante,6183,a7a6,0.77949244,240
1459,2024-09-27 11:55:55.357359+00,Lysandra Sanglante,6183,a7a6,0.77949244,240
1460,2024-09-27 11:56:25.896353+00,Lysandra Sanglante,6183,a7a6,0.77949244,240
1461,2024-09-27 11:57:05.663917+00,Ambrose Sardonique,6183,b6c6,1,309
1462,2024-09-27 11:58:19.251703+00,Endora Orpheline,6184,c4d5,1,309
1463,2024-09-27 11:58:29.458779+00,Valencia Anxieuse,6184,c4d5,1,239
1464,2024-09-27 11:58:33.207211+00,Valerian Prédateur,6184,b2b4,0.90869766,280
1465,2024-09-27 11:58:37.158329+00,Lucius Orphelin,6184,b2b4,0.90869766,217
1466,2024-09-27 11:59:23.078031+00,Montague Dévoué,6184,c4d5,1,199
1467,2024-09-27 11:59:47.601623+00,Lucius Orphelin,6184,d2d4,0.90631324,280
1468,2024-09-27 12:00:47.921688+00,Ludovic Instable,6184,b2b3,0.92631173,286
1469,2024-09-27 12:00:55.72776+00,Delphinia Anxieuse,6184,d2g5,0.9751737,301
1470,2024-09-27 12:04:15.515291+00,Delphinia Anxieuse,6184,b1a3,0.966606,298
1471,2024-09-27 12:05:50.770888+00,Elowen Intraitable,6185,f6d5,0.9933638,307
1472,2024-09-27 12:05:59.510624+00,Valentin Nocturne,6185,f6d5,0.9933638,238
1473,2024-09-27 12:06:04.996359+00,Nathaniel Acharné,6185,f6d5,0.9933638,197
1474,2024-09-27 12:06:27.270792+00,Amara Calculatrice,6185,h8d8,0.95790565,296
1475,2024-09-27 12:06:45.377647+00,Ysabeau Toxique,6185,f6e4,0.8430718,260
1476,2024-09-27 12:06:50.114717+00,Ambrose Sardonique,6185,f6d5,0.9933638,169
1477,2024-09-27 12:06:57.090879+00,Nathaniel Acharné,6185,h8d8,0.95790565,229
1478,2024-09-27 12:07:57.356106+00,Nathaniel Acharné,6185,f6d5,0.9933638,169
1479,2024-09-27 12:09:34.051583+00,Pandora Monstrueuse,6185,f6d5,0.9933638,147
1480,2024-09-27 12:11:37.278105+00,Algernon Orphelin,6185,c7c8,0.98708177,309
1481,2024-09-27 12:12:48.471326+00,Zorina Nébuleuse,6185,c5d5,1,313
1482,2024-09-27 12:13:19.786923+00,Endora Orpheline,6186,d2g5,1,317
1483,2024-09-27 12:13:46.762082+00,Lucius Orphelin,6186,d2d4,0.8361128,265
1484,2024-09-27 12:13:53.1444+00,Valencia Anxieuse,6186,e1e7,0.5074678,161
1485,2024-09-27 12:13:58.484149+00,Isadora Rancunière,6186,b2b4,0.9519393,302
1486,2024-09-27 12:14:00.446193+00,Calypso Anxieuse,6186,d2d3,0.9081396,288
1487,2024-09-27 12:14:36.203661+00,Montague Dévoué,6186,b2b4,0.9519393,236
1488,2024-09-27 12:14:42.581765+00,Valencia Anxieuse,6186,e1e4,0.90709686,288
1489,2024-09-27 12:15:19.630863+00,Valerian Prédateur,6186,b2b4,0.9519393,197
1490,2024-09-27 12:15:52.669614+00,Delphinia Anxieuse,6186,d2g5,1,248
1491,2024-09-27 12:16:09.975006+00,Ludovic Instable,6186,d2g5,1,207
1492,2024-09-27 12:16:28.278408+00,Lysander Insidieux,6186,b1a3,0.9335269,296
1493,2024-09-27 12:20:43.676799+00,Elowen Intraitable,6187,h8f8,1,313
1494,2024-09-27 12:21:00.576309+00,Elowen Intraitable,6187,h7h6,0.9002089,282
1495,2024-09-27 12:21:02.429895+00,Valentin Nocturne,6187,h8f8,1,313
1496,2024-09-27 12:21:27.514867+00,Nathaniel Acharné,6187,g4d7,1,313
1497,2024-09-27 12:21:55.704186+00,Elowen Intraitable,6187,h7h5,0.8986488,281
1498,2024-09-27 12:22:36.914154+00,Ambrose Sardonique,6187,g4e6,0.89448196,284
1499,2024-09-27 12:25:24.643618+00,Ysabeau Toxique,6187,h7h6,0.9002089,286
1500,2024-09-27 12:25:26.292099+00,Ysabeau Toxique,6187,h7h5,0.8986488,223
1501,2024-09-27 12:26:20.558404+00,Pandora Monstrueuse,6187,d5f6,0.80179983,254
1502,2024-09-27 12:26:32.42839+00,Amara Calculatrice,6187,h8f8,1,248
1503,2024-09-27 12:28:21.775123+00,Valerian Prédateur,6188,g5g4,0,0
1504,2024-09-27 12:28:31.362937+00,Lucius Orphelin,6188,e1e2,0.79053354,254
1505,2024-09-27 12:28:35.243124+00,Montague Dévoué,6188,g5g7,0.82764935,266
1506,2024-09-27 12:28:36.318547+00,Endora Orpheline,6188,c1e3,1,321
1507,2024-09-27 12:29:06.787989+00,Valencia Anxieuse,6188,e1e5,0,0
1508,2024-09-27 12:29:09.344647+00,Lucius Orphelin,6188,c1e3,1,252
1509,2024-09-27 12:29:14.695321+00,Ludovic Instable,6188,e1f1,0.92027813,296
1510,2024-09-27 12:32:03.895901+00,Delphinia Anxieuse,6188,c1e3,1,212
1511,2024-09-27 12:32:05.26615+00,Ludovic Instable,6188,c1e3,1,183
1512,2024-09-27 12:36:08.246163+00,Elowen Intraitable,6189,g4f5,0.84087473,270
1513,2024-09-27 12:36:25.734011+00,Elowen Intraitable,6189,c5c4,0.90530026,291
1514,2024-09-27 12:36:36.411778+00,Valentin Nocturne,6189,d5f6,0.7980526,256
1515,2024-09-27 12:36:46.064508+00,Ambrose Sardonique,6189,c5d6,0.9956397,320
1516,2024-09-27 12:36:47.920672+00,Valentin Nocturne,6189,d5e7,0.81429356,262
1517,2024-09-27 12:36:50.252441+00,Nathaniel Acharné,6189,c5c4,0.90530026,228
1518,2024-09-27 12:37:08.013502+00,Valentin Nocturne,6189,c5e7,0.9293297,299
1519,2024-09-27 12:37:42.428126+00,Amara Calculatrice,6189,c5e7,0.9293297,234
1520,2024-09-27 12:37:55.67503+00,Persephone Inquiétante,6189,d5f6,0.7980526,256
1521,2024-09-27 12:38:02.368882+00,Elowen Intraitable,6189,d5e3,0.8445415,271
1522,2024-09-27 12:38:15.168231+00,Valentin Nocturne,6189,d5e3,0.8445415,213
1523,2024-09-27 12:38:17.480099+00,Elowen Intraitable,6189,c5c6,0.9120343,293
1524,2024-09-27 12:38:26.115476+00,Elowen Intraitable,6189,c5e7,0.9293297,234
1525,2024-09-27 12:38:35.947769+00,Persephone Inquiétante,6189,f8f5,0.9895884,318
1526,2024-09-27 12:38:51.810887+00,Persephone Inquiétante,6189,c5c4,0.90530026,228
1527,2024-09-27 12:39:14.20118+00,Valentin Nocturne,6189,c5e7,0.9293297,197
1528,2024-09-27 12:40:07.264186+00,Calypso Nébuleuse,6189,c5c4,0.90530026,191
1529,2024-09-27 12:40:23.960131+00,Ysabeau Toxique,6189,d5e3,0.8445415,271
1530,2024-09-27 12:43:20.35163+00,Valencia Anxieuse,6190,g5d5,1,325
1531,2024-09-27 12:43:40.891649+00,Lucius Orphelin,6190,g5g4,0.911281,296
1532,2024-09-27 12:44:08.474922+00,Ludovic Instable,6190,b1a3,0.8014832,261
1533,2024-09-27 12:44:11.820044+00,Montague Dévoué,6190,e3f4,0.96311265,313
